Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
May 30@@24256,:mx: MEX,49.8,1.5,37.3172,:au: AUS,21.2,0.9,29.0,1-0,1,Friendly
May 31@@24257,:ch: SUI 🏡,72.9,2.4,47.01849,:jo: JOR,8.0,0.6,19.1,1-0,1,Friendly
May 31@@24257,:br: BRA 🏡,77.1,2.5,-16.81271,:pa: PAN,6.0,0.6,16.9,1-0,1,Friendly
May 31@@24257,:us: USA 🏡,35.0,1.1,37.3172,:sn: SEN,33.1,1.1,31.9,0-0,1,Friendly
May 31@@24257,:de: GER 🏡,83.9,3.3,50.81935,:fi: FIN,4.1,0.6,12.0,2-0,1,Friendly
May 31@@24257,:rs: SRB,58.5,1.8,39.65553,:cv: CPV,15.9,0.8,25.6,1-0,1,Friendly
May 31@@24257,:jp: JPN 🏡,74.0,2.6,35.56871,:is: ISL,8.2,0.7,17.8,1-0,1,Friendly
June 1@@24258,:tr: TUR 🏡,74.9,2.6,39.29454,:mk: MKD,7.8,0.7,17.3,1-0,1,Friendly
June 1@@24258,:ca: CAN 🏡,61.5,1.9,46.89425,:uz: UZB,13.6,0.7,24.9,1-0,1,Friendly
June 1@@24258,:bg: BUL 🏡,48.4,1.6,42.7289,:me: MNE,23.6,1.0,28.0,1-0,1,Friendly
June 1@@24258,:sk: SVK 🏡,77.1,2.5,48.66519,:mt: MLT,5.9,0.5,17.0,1-0,1,Friendly
June 1@@24258,:at: AUT 🏡,63.3,2.0,47.7831,:tn: TUN,13.0,0.8,23.8,1-0,1,Friendly
June 1@@24258,:no: NOR 🏡,61.8,2.1,60.99203,:se: SWE,15.3,0.9,22.9,1-0,1,Friendly
June 2@@24259,:ht: HAI,44.1,1.6,37.3172,:nz: NZL,28.7,1.3,27.1,1-0,1,Friendly
June 2@@24259,:gb-wls: WAL 🏡,52.7,1.6,51.75,:gh: GHA,18.7,0.8,28.6,1-0,1,Friendly
June 2@@24259,:ge: GEO 🏡,42.9,1.4,41.93037,:ro: ROU,27.4,1.1,29.7,0-0,1,Friendly
June 2@@24259,:hr: CRO 🏡,41.4,1.5,45.21638,:be: BEL,30.0,1.2,28.6,0-0,1,Friendly
June 2@@24259,:bn: BRU 🏡,40.3,1.5,4.850877,:tl: TLS,32.4,1.4,27.3,1-1,3,Southeast Asian Championship qualifying
June 3@@24260,:pl: POL 🏡,39.0,1.3,51.72587,:ng: NGA,30.1,1.1,30.9,0-0,1,Friendly
June 3@@24260,:nl: NED 🏡,69.3,2.3,52.09536,:dz: ALG,10.4,0.8,20.3,1-0,1,Friendly
June 3@@24260,:pa: PAN 🏡,71.7,2.3,8.800722,:do: DOM,8.7,0.7,19.6,1-0,1,Friendly
June 3@@24260,:dk: DEN,58.3,1.9,50.84524,:cd: COD,17.1,0.9,24.7,1-0,1,Friendly
June 3@@24260,:lu: LUX 🏡,7.1,0.5,49.64531,:it: ITA,73.0,2.2,19.9,0-1,1,Friendly
June 4@@24261,:lb: LBN,56.0,1.7,25.32567,:ye: YEM,17.4,0.9,26.6,1-0,5,AFC Asian Cup qualifying
June 4@@24261,:es: ESP 🏡,90.7,3.8,39.58596,:iq: IRQ,1.4,0.3,7.9,2-0,1,Friendly
June 4@@24261,:si: SVN 🏡,76.4,2.6,46.15565,:cy: CYP,6.6,0.6,17.0,1-0,1,Friendly
June 4@@24261,:mx: MEX 🏡,62.0,1.9,21.34143,:rs: SRB,13.3,0.7,24.7,1-0,1,Friendly
June 4@@24261,:th: THA 🏡,54.3,1.8,14.11979,:kw: KUW,19.4,1.0,26.3,1-0,1,Friendly
June 4@@24261,:ad: AND 🏡,51.7,1.3,42.52226,:li: LIE,15.3,0.6,33.1,0-0,1,Friendly
June 4@@24261,:cz: CZE,56.1,1.8,37.3172,:gt: GUA,18.1,0.9,25.8,1-0,1,Friendly
June 4@@24261,:se: SWE 🏡,41.5,1.4,58.80855,:gr: GRE,29.1,1.1,29.4,0-0,1,Friendly
June 4@@24261,:uy: URU,56.2,1.7,21.34143,:kr: KOR,16.7,0.8,27.1,1-0,1,Friendly
June 4@@24261,:fr: FRA 🏡,75.2,2.4,47.04737,:ci: CIV,6.7,0.6,18.1,1-0,1,Friendly
June 5@@24262,:ca: CAN 🏡,50.1,1.4,46.89425,:ie: IRL,19.3,0.8,30.6,0-0,1,Friendly
June 5@@24262,:hu: HUN 🏡,61.6,2.1,47.31799,:fi: FIN,15.1,0.9,23.3,1-0,1,Friendly
June 5@@24262,:ao: ANG,56.5,1.5,33.183,:bw: BOT,14.7,0.6,28.8,1-0,1,Friendly
June 5@@24262,:ru: RUS 🏡,66.4,2.1,53.7622,:bf: BFA,11.3,0.7,22.3,1-0,1,Friendly
June 5@@24262,:az: AZE,39.5,1.3,47.7831,:mt: MLT,29.9,1.1,30.6,0-0,1,Friendly
June 5@@24262,:md: MDA 🏡,20.5,0.9,47.16079,:bg: BUL,51.1,1.6,28.4,0-1,1,Friendly
June 5@@24262,:sm: SMR 🏡,36.1,1.0,43.94609,:bd: BAN,27.3,0.8,36.6,0-0,1,Friendly
